"verb","Agency{agent}_Label","Annotator1_raw","Annotator2_raw","Annotator3_raw",,,
"lingers","-",1,-1,-1,,,
"handcuffs","+",1,1,0,,,
"tackles","+",1,1,1,,,
"binds","+",1,1,1,,,
"enables","+",1,1,0,,,
"powers","+",0,1,1,,,
"underlies","-",1,-1,-1,,,
"haves","-",0,-1,0,,,
"dozes","-",-1,-1,-1,,,
"sees","-",0,-1,0,,,
"broods","-",-1,0,0,,,
"fasts","+",1,0,0,,,
"paddles","+",1,1,1,,,
"leafs","+",-1,1,1,,,
"stalls","+",0,0,1,,,
"grunts","+",0,1,0,,,
"tells","+",1,0,1,,,
"bawls","=",1,0,-1,,,
"instructs","+",1,1,1,,,
"forces","+",1,1,1,,,
"grips","+",1,1,0,,,
"rides","+",1,0,1,,,
"circles","+",1,0,0,,,
"reverberates","+",0,1,0,,,
"distracts","+",0,0,1,,,
"wells","=",1,-1,0,,,
"clears","+",1,-1,1,,,
"apologizes","+",1,1,0,,,
"glimpses","-",-1,-1,0,,,
"exercises","+",1,1,1,,,
"mashes","+",1,1,1,,,
"veers","+",1,1,1,,,
"peers","+",1,0,0,,,
"flops","+",0,0,1,,,
"treats","+",1,0,1,,,
"prevails","+",1,1,0,,,
"breathes","-",0,0,-1,,,
"swerves","+",1,1,0,,,
"does","+",1,1,-1,,,
"calculates","+",0,1,0,,,
"chirps","=",1,0,-1,,,
"labels","+",0,1,0,,,
"pops","+",1,0,1,,,
"colors","+",1,1,1,,,
"disturbs","+",1,0,0,,,
"nominates","+",1,1,1,,,
"sags","-",-1,-1,-1,,,
"reclines","-",-1,-1,0,,,
"judges","+",0,0,1,,,
"balds","-",-1,-1,1,,,
"unleashes","+",1,1,1,,,
"delays","+",0,1,0,,,
"reverses","+",1,1,1,,,
"snickers","-",-1,1,-1,,,
"sews","+",1,1,1,,,
"scans","+",0,0,1,,,
"hollers","+",1,0,1,,,
"criticizes","+",1,0,1,,,
"undresses","+",1,1,1,,,
"interrogates","+",1,1,1,,,
"lies to","+",1,1,0,,,
"plats","+",0,1,1,,,
"convulses","+",1,0,1,,,
"angers","=",0,0,0,,,
"lurches","+",1,-1,1,,,
"quotes","=",0,1,-1,,,
"thrusts","+",1,1,1,,,
"mows","+",1,1,1,,,
"shocks","+",1,0,1,,,
"ruins","+",1,1,1,,,
"blanches","+",1,-1,1,,,
"thanks","+",1,0,1,,,
"decides","+",0,1,1,,,
"scours","+",1,1,1,,,
"tattoos","+",1,1,1,,,
"sharpens","+",1,1,1,,,
"proclaims","+",1,-1,1,,,
"depends","-",-1,-1,-1,,,
"urges","+",0,0,1,,,
"clarifies","+",1,1,0,,,
"draws","+",1,1,1,,,
"coats","+",0,1,0,,,
"rings","+",1,0,1,,,
"smacks","+",1,1,1,,,
"stamps","+",1,1,1,,,
"discovers","+",0,0,1,,,
"pets","+",1,1,1,,,
"props","+",0,1,1,,,
"shaves","+",1,1,1,,,
"caves","-",-1,-1,0,,,
"encounters","-",-1,-1,0,,,
"slugs","+",1,1,1,,,
"pastes","+",1,1,1,,,
"claws","+",1,1,1,,,
"motions to","+",1,0,0,,,
"terms","+",0,1,0,,,
"wears","+",0,0,1,,,
"sickens","+",1,0,1,,,
"enters","+",1,0,1,,,
"snarls at","+",0,1,1,,,
"deposes","+",-1,1,1,,,
"maneuvers","+",1,1,1,,,
"swoops","+",1,0,0,,,
"triggers","+",1,0,0,,,
"renders","+",1,1,1,,,
"tings","+",1,0,0,,,
"receives","-",-1,0,-1,,,
"faces","-",-1,-1,1,,,
"exceeds","+",1,1,1,,,
"requests","=",-1,0,1,,,
"groans","+",1,0,0,,,
"fondles","+",1,1,0,,,
"engulfs","+",1,1,0,,,
"munches","+",0,1,1,,,
"snores","-",-1,-1,-1,,,
"gushes","=",0,0,0,,,
"springs","+",0,1,0,,,
"broadens","+",1,1,1,,,
"tucks","+",1,1,1,,,
"recognises","=",0,0,0,,,
"asks","+",1,-1,1,,,
"buffets","+",0,1,1,,,
"bothers","+",1,0,1,,,
"rests","-",-1,-1,-1,,,
"dots","+",1,1,1,,,
"anchors","+",1,1,1,,,
"drugs","+",1,1,1,,,
"snips","+",1,1,0,,,
"collides with","+",1,0,0,,,
"briefs","=",0,0,0,,,
"doubts","-",0,0,-1,,,
"rifles through","+",1,1,0,,,
"affixes","+",1,1,0,,,
"straddles","+",1,1,-1,,,
"glides","=",-1,1,0,,,
"distorts","+",1,1,1,,,
"shovels","+",1,1,1,,,
"harms","+",1,1,1,,,
"launches","+",1,1,1,,,
"stubs","=",0,1,-1,,,
"contemplates","-",0,0,-1,,,
"entertains","+",1,1,0,,,
"murders","+",1,1,1,,,
"leaves","=",0,0,0,,,
"weakens","+",1,1,1,,,
"jiggles","+",1,1,0,,,
"slicks","=",0,1,-1,,,
"fakes","+",0,1,0,,,
"soils","+",1,0,0,,,
"overthrows","+",1,1,1,,,
"knocks","+",1,1,1,,,
"dazzles","+",0,1,0,,,
"gags on","-",-1,-1,0,,,
"cools","-",-1,0,0,,,
"entitles","=",1,0,-1,,,
"deepens","+",1,1,1,,,
"spews","+",1,0,1,,,
"damages","+",1,0,1,,,
"avoids","+",1,0,0,,,
"grows","+",1,1,0,,,
"vibrates","+",1,1,1,,,
"meets","+",0,1,0,,,
"corresponds with","=",1,0,-1,,,
"prohibits","+",1,1,0,,,
"blames","+",1,0,1,,,
"tops","+",0,0,1,,,
"documents","+",1,0,0,,,
"sprinkles","+",1,0,1,,,
"tidies","+",1,1,1,,,
"programs","+",1,1,1,,,
"smokes","+",0,1,0,,,
"inspires","+",0,0,1,,,
"practices","+",1,1,1,,,
"prescribes","+",1,0,0,,,
"deploys","+",1,1,1,,,
"alarms","+",1,1,0,,,
"claims","+",0,1,0,,,
"camps","+",0,1,1,,,
"possesses","=",-1,0,1,,,
"recoils","=",-1,0,1,,,
"sleeps","-",-1,-1,-1,,,
"proposes","+",0,1,0,1,0,0
"transforms","+",1,1,1,,,
"swears","+",1,0,1,,,
"rotates","+",1,1,1,,,
"burns","+",1,0,1,,,
"tramples","+",1,1,1,,,
"unzips","+",1,1,1,,,
"trashes","+",0,1,1,,,
"deters","+",1,1,1,,,
"interprets","+",1,1,0,,,
"beholds","=",0,-1,1,,,
"hoists","+",1,1,0,,,
"advances","+",0,1,1,,,
"breaks","+",1,1,0,,,
"perfects","+",1,1,0,,,
"caps","+",1,0,1,,,
"agonizes over","=",0,-1,1,,,
"boxes","+",1,1,1,,,
"poses","-",0,-1,0,,,
"dreams","-",-1,-1,-1,,,
"disconnects","+",1,1,1,,,
"steps","+",0,0,1,,,
"flaps","-",1,-1,-1,,,
"erodes","+",1,0,1,,,
"slouches","-",-1,-1,-1,,,
"lashes","+",1,1,1,,,
"sends","+",1,1,0,,,
"crows","+",1,0,0,,,
"reconsiders","=",0,0,0,,,
"paces","+",1,0,1,,,
"contests","+",1,0,1,,,
"denies","+",1,0,0,,,
"gasps","=",0,-1,1,,,
"nuzzles","+",1,1,-1,,,
"exhausts","+",1,0,0,,,
"comments","+",0,0,1,,,
"totals","+",1,0,0,,,
"mulls","=",1,0,-1,,,
"ruffles","+",1,1,1,,,
"yields","=",1,-1,0,1,0,-1
"shakes","+",1,1,1,,,
"graduates","+",1,0,1,,,
"buckles up","+",1,-1,1,,,
"mutters","=",0,1,-1,,,
"pinches","+",0,1,1,,,
"pees","+",1,0,1,,,
"emits","+",0,1,1,,,
"mimics","+",1,0,1,,,
"attacks","+",1,1,1,,,
"accepts","-",-1,0,0,,,
"emblazons","+",0,1,1,,,
"donates","+",1,0,0,,,
"dials","+",1,1,1,,,
"barks","=",1,0,-1,,,
"appoints","+",1,1,1,,,
"balances","+",1,1,1,,,
"lies","+",1,0,1,,,
"slurs","=",-1,0,1,,,
"bats","+",1,0,1,,,
"raises","+",1,1,1,,,
"cascades","+",1,-1,1,,,
"shoots","+",1,1,1,,,
"rounds","+",1,0,1,,,
"authorizes","+",1,1,1,,,
"snorts","+",0,1,1,,,
"waits","-",-1,-1,-1,,,
"lags","-",-1,-1,1,,,
"despises","+",0,0,1,,,
"accords","+",1,1,-1,,,
"grooms","+",1,0,0,,,
"steers","+",1,1,0,,,
"removes","+",1,1,1,,,
"snows","-",0,0,-1,,,
"astonishes","+",1,0,0,,,
"unbuttons","+",1,1,1,,,
"underestimates","=",-1,1,0,,,
"builds","+",0,1,1,,,
"prevents","+",1,1,1,,,
"bids","=",0,-1,1,,,
"bounds","+",1,1,0,,,
"smashes","+",1,1,0,,,
"embraces","+",1,0,1,,,
"lays","+",1,1,1,,,
"attaches","+",1,0,1,,,
"fulfills","+",1,1,1,,,
"promises","+",0,0,1,,,
"looms","-",-1,-1,-1,,,
"guesses","-",-1,0,-1,,,
"sticks","+",1,0,1,,,
"saddles","+",1,0,0,,,
"covers","+",0,1,1,,,
"defers to","-",-1,1,-1,,,
"proves","+",1,0,1,,,
"sprouts","+",1,0,0,,,
"shines","=",-1,0,1,,,
"knows","-",0,-1,0,,,
"fosters","=",-1,1,0,,,
"vanishes","-",-1,-1,0,,,
"presumes","=",0,0,0,,,
"warms","+",1,0,1,,,
"extracts","+",1,1,1,,,
"squeals","=",1,0,-1,,,
"grasps","=",-1,1,0,,,
"spoils","+",1,1,-1,,,
"flushes","+",1,1,1,,,
"brightens","+",0,1,0,,,
"nods","+",0,0,1,,,
"scores","+",1,1,1,,,
"transfers","+",0,1,0,,,
"shatters","+",1,1,1,,,
"progresses","+",1,1,-1,,,
"sacks","+",1,1,1,,,
"restores","+",1,1,1,,,
"stacks","+",1,1,0,,,
"tolerates","=",0,0,0,,,
"suffocates","+",1,1,1,1,1,1
"leads","+",1,1,1,,,
"manages","+",1,1,1,,,
"activates","+",1,1,1,,,
"consists of","-",-1,-1,-1,,,
"praises","+",0,1,0,,,
"hovers","+",0,1,0,,,
"fancies","-",-1,0,0,,,
"hums","+",0,0,1,,,
"soothes","+",0,1,0,,,
"devotes","+",1,1,0,,,
"hammers","+",1,1,1,,,
"flexes","+",1,1,1,,,
"furrows","=",1,0,-1,,,
"advises","+",1,0,0,,,
"objects to","+",1,1,0,,,
"gallops","+",1,1,1,,,
"emphasizes","+",0,1,0,,,
"stays","-",-1,-1,0,,,
"cooks","+",1,1,1,,,
"clouds","+",0,1,0,,,
"solves","+",1,0,0,,,
"turns","+",0,0,1,,,
"trots","+",1,1,1,,,
"peeps","+",0,1,1,,,
"travels","+",1,1,0,,,
"evades","+",0,1,0,,,
"perceives","-",1,-1,-1,,,
"loads","+",1,1,0,,,
"dries","+",0,1,1,,,
"tempts","+",1,0,1,,,
"undoes","+",0,1,1,,,
"invades","+",1,1,1,,,
"irritates","+",1,1,-1,,,
"trails","+",1,0,0,,,
"detonates","+",1,1,1,,,
"adorns","+",1,1,0,,,
"targets","+",0,1,1,,,
"drinks","+",1,1,1,,,
"acquaints","+",1,1,0,,,
"adds","+",1,1,1,,,
"stands","=",1,0,-1,,,
"shares","+",1,1,0,,,
"peels","+",1,1,1,,,
"concentrates on","+",1,0,0,,,
"celebrates","+",1,0,0,,,
"growls","+",1,0,0,,,
"climbs","+",1,1,1,,,
"dissipates","+",1,1,0,,,
"groups","+",1,0,1,,,
"teaches","+",1,1,1,,,
"appears","+",1,0,0,,,
"pedals","+",1,1,1,,,
"diagnoses","+",1,1,0,,,
"plunges","+",1,1,1,,,
"accomplishes","+",1,1,0,,,
"flames","+",1,-1,1,,,
"saws","+",1,1,1,,,
"sparks","+",1,1,1,,,
"bangs","+",1,1,1,,,
"attaches to","+",1,0,1,,,
"studies","+",0,0,1,,,
"lowers","+",1,1,1,,,
"paralyzes","+",1,1,1,,,
"lounges","-",-1,-1,0,,,
"robs","+",1,0,1,,,
"refuses","+",0,1,1,,,
"retires","+",1,1,1,,,
"stings","+",1,1,0,,,
"recedes","-",-1,-1,-1,,,
"opposes","+",1,1,0,,,
"voices","+",1,0,0,,,
"identifies","+",0,0,1,,,
"stoops","=",1,-1,0,,,
"cooperates","=",1,-1,0,,,
"resigns","=",0,-1,1,,,
"sports","=",1,0,-1,,,
"pelts","+",1,0,1,,,
"topples","+",1,1,1,,,
"films","+",1,1,1,,,
"selects","+",0,1,1,,,
"slays","+",1,1,1,,,
"hesitates","-",0,-1,-1,,,
"towers","-",-1,-1,-1,,,
"consoles","+",0,0,1,,,
"teases","+",0,1,1,,,
"scratches","+",1,-1,1,,,
"slinks","-",-1,0,-1,,,
"envelops","+",1,1,1,,,
"sheds","+",1,0,1,,,
"recites","+",0,1,0,,,
"defeats","+",1,1,1,,,
"detaches","+",1,1,1,,,
"believes","-",-1,0,0,,,
"reviews","+",1,0,1,,,
"quivers","+",1,0,0,,,
"gathers","+",1,1,1,,,
"drags","+",0,1,1,,,
"modifies","+",1,1,1,,,
"bites","+",1,1,1,,,
"breeds","+",1,1,1,,,
"hears","-",-1,-1,0,,,
"mirrors","=",0,-1,1,,,
"locks","+",1,1,1,,,
"slows","+",0,0,1,,,
"dedicates","+",1,0,0,,,
"hides","+",1,1,1,,,
"unloads","+",1,1,0,,,
"whirls","+",1,1,1,,,
"confuses","+",0,0,1,,,
"listens","+",1,0,0,,,
"scoots","+",1,1,1,,,
"etches","+",0,1,1,,,
"dooms","+",1,0,1,,,
"freezes","+",1,1,-1,,,
"embeds","+",1,1,0,,,
"appeals to","+",0,1,0,,,
"skates","+",1,1,-1,,,
"pins","+",1,1,1,,,
"speaks","+",1,0,0,,,
"strays","+",1,0,0,,,
"secures","+",1,1,0,,,
"snaps","+",0,0,1,,,
"explores","+",1,1,1,,,
"rears","+",0,0,1,,,
"crashes","+",1,0,1,,,
"strokes","+",1,1,1,,,
"informs","+",1,0,0,,,
"mocks","+",1,0,1,,,
"rights","+",0,1,1,,,
"dreads","-",0,0,-1,,,
"accelerates","+",1,1,1,,,
"thunders","+",1,0,0,,,
"invests","+",1,1,0,,,
"worsens","+",1,0,0,,,
"reaffirms","+",1,1,0,,,
"flips","+",1,0,0,,,
"argues","+",1,0,1,,,
"furnishes","+",1,1,0,,,
"affirms","+",1,1,1,,,
"shudders","-",0,0,-1,,,
"troubles","+",0,1,0,,,
"decreases","+",1,0,1,,,
"forms","+",1,0,1,,,
"broadcasts","+",1,1,0,,,
"offers","+",0,0,1,,,
"dwarfs","-",-1,-1,-1,,,
"constitutes","-",-1,1,-1,,,
"pays","=",1,0,-1,,,
"undermines","+",1,0,1,,,
"deafens","+",1,1,0,,,
"qualifies","-",-1,0,0,,,
"influences","+",0,1,1,,,
"views","-",-1,-1,-1,,,
"matches","+",1,0,0,,,
"records","=",1,0,-1,,,
"tails","+",0,0,1,,,
"dismisses","+",1,1,0,,,
"rattles","+",1,0,0,,,
"appraises","+",1,1,0,,,
"intrigues","-",-1,-1,0,,,
"fumes","+",1,0,0,,,
"corners","+",1,0,1,,,
"belts","+",1,1,1,,,
"invents","+",1,1,1,,,
"slumps","-",-1,0,-1,,,
"chuckles","+",1,1,0,,,
"bursts","+",1,1,0,,,
"suspends","+",1,1,1,,,
"dabs","+",1,1,0,,,
"materializes","-",-1,0,0,,,
"busts","+",0,1,1,,,
"fixes","+",1,1,1,,,
"challenges","+",1,0,0,,,
"fires","+",1,1,1,,,
"gaps","+",1,1,-1,,,
"hurries","+",0,1,0,,,
"revises","+",1,1,0,,,
"monitors","-",-1,0,0,,,
"reckons","+",0,1,0,,,
"emerges","+",1,0,1,,,
"sustains","+",0,1,1,,,
"belongs to","-",-1,0,-1,,,
"operates","+",1,1,1,,,
"cancels","+",0,1,1,,,
"condemns","+",0,1,0,,,
"squares","+",0,1,1,,,
"shows","+",1,0,0,,,
"hefts","+",1,1,0,,,
"bolts","+",0,1,1,,,
"sloshes","=",1,0,-1,,,
"spies","+",1,0,0,,,
"disintegrates","+",1,1,0,,,
"bumps","+",1,1,0,,,
"quits","+",1,0,1,,,
"inhales","=",1,0,-1,,,
"dispatches","+",1,1,1,,,
"forbids","+",1,1,1,,,
"envies","=",1,-1,0,,,
"sobers","+",1,0,0,,,
"tangles","+",1,1,0,,,
"thins","+",1,1,0,,,
"disguises","+",0,0,1,,,
"silhouettes","-",-1,0,-1,,,
"enhances","+",0,1,1,,,
"discharges","+",1,1,1,,,
"sneaks","+",1,0,0,,,
"fetches","+",0,0,1,,,
"sounds","+",1,0,0,,,
"rivets","+",1,0,1,,,
"affords","=",1,0,-1,,,
"peddles","+",1,1,1,,,
"surveys","+",1,1,1,,,
"stifles","+",1,1,1,,,
"exists","-",-1,-1,0,,,
"participates","+",1,1,0,,,
"dawns","-",-1,-1,0,,,
"returns","+",1,1,0,,,
"squashes","+",1,1,1,,,
"gives","+",1,0,1,,,
"slashes","+",1,1,1,,,
"eyes","=",0,0,0,,,
"labors","+",1,0,1,,,
"releases","+",1,1,0,,,
"appreciates","-",-1,0,0,,,
"surges","+",1,0,0,,,
"eliminates","+",1,1,1,,,
"massages","+",1,1,1,,,
"cops","+",1,0,1,,,
"herds","+",0,1,1,,,
"absorbs","+",1,0,0,,,
"circulates","+",1,1,0,,,
"bobs","=",1,0,-1,,,
"cracks","+",1,0,1,,,
"favors","+",0,1,0,,,
"lugs","+",1,1,1,,,
"accesses","=",0,-1,1,,,
"smirks","-",-1,-1,1,,,
"chugs","+",1,1,1,,,
"strolls","=",-1,1,0,,,
"browses","+",1,0,1,,,
"depresses","=",-1,1,0,,,
"buries","+",1,1,1,,,
"decapitates","+",1,1,1,,,
"occupies","+",1,0,0,,,
"clambers","+",1,0,0,,,
"bugs","+",0,1,0,,,
"fascinates","-",0,0,-1,,,
"tastes","+",0,0,1,,,
"prays to","-",-1,1,-1,,,
"sells","+",1,0,1,,,
"twinkles","=",0,0,0,,,
"confesses","+",1,0,0,,,
"converges","=",1,0,-1,,,
"intends","-",1,-1,-1,,,
"acquires","+",1,1,1,,,
"bets","+",1,1,-1,,,
"sprawls","=",-1,0,1,,,
"coils","+",1,1,1,,,
"suspects","+",0,0,1,,,
"falls","+",1,1,-1,,,
"contrasts","+",0,0,1,,,
"pages","+",0,0,1,,,
"probes","+",1,0,1,,,
"overtakes","+",1,1,1,,,
"fills","+",-1,1,1,,,
"trembles","-",0,-1,0,,,
"cuddles","=",1,0,-1,,,
"disperses","+",1,1,1,,,
"crosses out","+",1,0,1,,,
"murmurs","=",0,0,0,,,
"imagines","=",-1,1,0,,,
"hopes","=",0,0,0,,,
"spaces","+",1,1,0,,,
"slops","+",0,1,0,,,
"babbles","+",1,0,0,,,
"hustles","+",1,1,1,,,
"pivots","+",1,0,1,,,
"sinks","+",1,1,1,,,
"enriches","+",1,0,1,,,
"storms","+",0,1,1,,,
"collapses","+",1,1,1,,,
"tears","+",1,1,1,,,
"seduces","+",1,1,1,,,
"blinds","+",1,1,1,,,
"narrows","+",1,1,0,,,
"contracts","+",1,1,0,,,
"fends off","+",1,1,1,,,
"agrees on","+",0,1,0,,,
"navigates","+",1,0,1,,,
"designates","+",1,1,0,,,
"blends","+",1,1,1,,,
"floods","+",1,1,1,,,
"communicates","=",1,0,-1,,,
"slaughters","+",1,1,1,,,
"checks","=",1,0,-1,,,
"jokes","=",1,0,-1,,,
"bombs","+",1,1,1,,,
"worries","-",-1,0,-1,,,
"reels","-",1,-1,-1,,,
"reveals","+",1,1,0,,,
"encourages","+",0,1,0,,,
"arouses","+",1,1,1,,,
"declares","+",1,0,1,,,
"ignores","+",-1,1,1,,,
"collects","+",1,0,0,,,
"dives","+",0,0,1,,,
"violates","+",1,1,1,,,
"surfaces","+",1,-1,1,,,
"bewilders","=",1,0,-1,,,
"fails","-",-1,-1,0,-1,-1,-1
"gags","+",1,1,1,,,
"chatters","+",0,1,0,,,
"justifies","+",0,0,1,,,
"mops","+",1,1,1,,,
"invokes","+",1,0,0,1,1,0
"chews","+",1,1,1,,,
"enjoys","-",0,-1,0,,,
"rebuilds","+",1,1,1,,,
"smooths","+",-1,1,1,,,
"decks","+",1,1,1,,,
"spars","+",1,0,1,,,
"unlocks","+",1,1,0,,,
"farts","-",0,-1,0,,,
"grieves","-",0,0,-1,,,
"suppresses","+",1,1,0,,,
"analyzes","-",-1,1,-1,,,
"awards","+",0,1,0,,,
"multiplies","=",1,-1,0,,,
"hurts","+",1,1,1,,,
"moans","+",1,0,0,,,
"crucifies","+",1,1,1,,,
"dates","+",1,1,0,,,
"mans","+",0,1,1,,,
"wanders","-",-1,0,0,,,
"spits at","+",1,1,1,,,
"trades","+",1,0,0,,,
"blasts","+",1,1,1,,,
"converses","+",1,0,1,,,
"concentrates","=",1,0,-1,,,
"wheels","+",1,0,1,,,
"comes","+",1,0,0,,,
"stretches","+",1,0,1,,,
"mails","+",1,1,1,,,
"compels","+",1,1,1,,,
"sulks","-",-1,0,-1,,,
